director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
Vi Anand,Ravi,TejaPayal,Telugu,India,Action Science Fiction Thriller,disco raja,Vi Anand Ravi TejaPayal Action Science Fiction Thriller disco raja
Keshav Depur,Pavan,KrishnaSuprajaGetup,Telugu,India,Drama Romance,dubsmash,Keshav Depur Pavan KrishnaSuprajaGetup Drama Romance dubsmash
Ramana Teja,Naga,ShauryaMehreen,Telugu,India,Action Crime Thriller,aswathama,Ramana Teja Naga ShauryaMehreen Action Crime Thriller aswathama
Sesha Sindhu Rao,Shiva,KandukuriVarsha,Telugu,India,Comedy Drama Romance,choosi choodangaane,Sesha Sindhu Rao Shiva KandukuriVarsha Comedy Drama Romance choosi choodangaane
C. Premkumar,SharwanandSamantha,AkkineniSai,Telugu,India,Comedy Horror,jaanu,C. Premkumar SharwanandSamantha AkkineniSai Comedy Horror jaanu
Anil Kumar G,Sudigali,SudheerGetup,Telugu,India,Documentary,3 monkeys,Anil Kumar G Sudigali SudheerGetup Documentary 3 monkeys
Saahith Mothkuri,NanduPriyanka,SharmaSrikanth,Telugu,India,Drama Romance,savaari,Saahith Mothkuri NanduPriyanka SharmaSrikanth Drama Romance savaari
Narasimha Nandi,VarunSri,DivyaDuvvasi,Telugu,India,Drama Romance Thriller,degree college,Narasimha Nandi VarunSri DivyaDuvvasi Drama Romance Thriller degree college
Saibaba. M,Surya,SreenivasSri,Telugu,India,Drama Romance,neevalle nenunna,Saibaba. M Surya SreenivasSri Drama Romance neevalle nenunna
Kranthi Madhav,Vijay,DeverakondaRaashi,Telugu,India,Romance Drama,world famous lover,Kranthi Madhav Vijay DeverakondaRaashi Romance Drama world famous lover
Sundeep cheguri,Punarnavi,BhupalamSanjay,Telugu,India,Drama Thriller,oka chinna viramam,Sundeep cheguri Punarnavi BhupalamSanjay Drama Thriller oka chinna viramam
Sagar Sailesh,Sagar,SaileshYeisha,Telugu,India,Drama Romance,shiva 143,Sagar Sailesh Sagar SaileshYeisha Drama Romance shiva 143
Suresh Thirumur,RavitejaSravani,NikkiShruti,Telugu,India,Drama Romance Comedy,life anubavinchu raja,Suresh Thirumur RavitejaSravani NikkiShruti Drama Romance Comedy life anubavinchu raja
Venky Kudumula,NithinRashmika,MandannaAnant,Telugu,India,Romance Drama,bheeshma,Venky Kudumula NithinRashmika MandannaAnant Romance Drama bheeshma
Sujoi & Sushil,Sai,RonakPreethi,Telugu,India,Documentary,pressure cooker,Sujoi & Sushil Sai RonakPreethi Documentary pressure cooker
Srikanth 'Sri' Appalaraju,AmithIndhu,Cherukuri,Telugu,India,Drama Romance Fantasy Family,cheema prema madhyalo bhaama,Srikanth 'Sri' Appalaraju AmithIndhu Cherukuri Drama Romance Fantasy Family cheema prema madhyalo bhaama
Subbu Vedula,Kriti,GargAbeRaam,Telugu,India,Crime Drama Thriller,raahu,Subbu Vedula Kriti GargAbeRaam Crime Drama Thriller raahu
Dr Sailesh Kolanu,Vishwak,SenRuhani,Telugu,India,Action Drama Thriller,hit: the first case,Dr Sailesh Kolanu Vishwak SenRuhani Action Drama Thriller hit: the first case
Hari Santhosh,Rajendra,PrasadRahul,Telugu,India,Comedy Drama Romance,college kumar,Hari Santhosh Rajendra PrasadRahul Comedy Drama Romance college kumar
Karuna Kumar,RakshitNakshatraRaghu,KuncheThiruveerLaxman,Telugu,India,Action Crime Drama,palasa 1978,Karuna Kumar RakshitNakshatraRaghu KuncheThiruveerLaxman Action Crime Drama palasa 1978
Chandu Muddu,Viswant,DuddumpudiSanjay,Telugu,India,Romance Thriller,o pitta katha,Chandu Muddu Viswant DuddumpudiSanjay Romance Thriller o pitta katha
K L Prasad,Pragathi,YadhatiVikram,Telugu,India,Drama Romance,screenplay of an indian love story,K L Prasad Pragathi YadhatiVikram Drama Romance screenplay of an indian love story
Srividya Basawa,Trishna,MukherjeeVenkat,Telugu,India,Action Romance Comedy,madha,Srividya Basawa Trishna MukherjeeVenkat Action Romance Comedy madha
Kanmani,RajasekharMaryam,Zakaria,Telugu,India,Romance Thriller,arjuna,Kanmani RajasekharMaryam Zakaria Romance Thriller arjuna
Lakshmikanth Chenna,NavdeepPujita,Ponnada,Telugu,India,Thriller Horror Drama,run,Lakshmikanth Chenna NavdeepPujita Ponnada Thriller Horror Drama run
Pradeep Maddali,Satyadev,KancharanaPooja,Telugu,India,Action Drama Mystery Thriller,47 days,Pradeep Maddali Satyadev KancharanaPooja Action Drama Mystery Thriller 47 days
Srikanth Nagothi,Naveen,ChandraSalony,Telugu,India,Comedy Drama Romance,bhanumathi & ramakrishna,Srikanth Nagothi Naveen ChandraSalony Comedy Drama Romance bhanumathi & ramakrishna
Venkatesh Maha,Satyadev,KancharanaNareshSuhasRaghavanHari,Telugu,India,Comedy Drama,uma maheswara ugra roopasya,Venkatesh Maha Satyadev KancharanaNareshSuhasRaghavanHari Comedy Drama uma maheswara ugra roopasya
Trinadh Velisala,Abhinay,ReddySyed,Telugu,India,Crime Thriller,meka suri,Trinadh Velisala Abhinay ReddySyed Crime Thriller meka suri
Teja Marni,Esther,AnilAnkith,Telugu,India,Drama,johaar,Teja Marni Esther AnilAnkith Drama johaar
Mohan Krishna Indraganti,NaniSudheer,BabuNivetha,Telugu,India,Horror Thriller Crime,v,Mohan Krishna Indraganti NaniSudheer BabuNivetha Horror Thriller Crime v
Edwards Jonathan,Vijay,RamShivshakti,Telugu,India,Drama Romance,amaram akhilam prema,Edwards Jonathan Vijay RamShivshakti Drama Romance amaram akhilam prema
Hemant Madhukar,Anushka,ShettyMadhavanMichael,Telugu,India,Thriller Horror,nishabdham,Hemant Madhukar Anushka ShettyMadhavanMichael Thriller Horror nishabdham
Vijay Kumar Konda,Raj,TarunMalavika,Telugu,India,Drama Romance,orey bujjiga,Vijay Kumar Konda Raj TarunMalavika Drama Romance orey bujjiga
Sandeep Raj,SuhasChandini,ChowdarySunil,Telugu,India,Drama Romance,colour photo,Sandeep Raj SuhasChandini ChowdarySunil Drama Romance colour photo
Narendra Nath,Keerthy,SureshJagapathi,Telugu,India,Family Comedy Drama,miss india,Narendra Nath Keerthy SureshJagapathi Family Comedy Drama miss india
Kiran Reddy,Bhargava,PoludasuRakesh,Telugu,India,Thriller,gatham,Kiran Reddy Bhargava PoludasuRakesh Thriller gatham
Aditya Mandala,Siddu,JonnalagaddaSeerat,Telugu,India,Comedy Romance,maa vintha gaadha vinuma,Aditya Mandala Siddu JonnalagaddaSeerat Comedy Romance maa vintha gaadha vinuma
Vinod Ananthoju,Anand,DevarakondaVarsha,Telugu,India,Comedy Drama Romance,middle class melodies,Vinod Ananthoju Anand DevarakondaVarsha Comedy Drama Romance middle class melodies
Trinadh Velisala,Abhinay,ReddySyed,Telugu,India,Crime Thriller,meka suri 2,Trinadh Velisala Abhinay ReddySyed Crime Thriller meka suri 2
Raghavendra Varma,Chandini,ChowdarySai,Telugu,India,Action Drama Science Fiction,bombhaat,Raghavendra Varma Chandini ChowdarySai Action Drama Science Fiction bombhaat
Bammidi Mohan,Satyadev,KancharanaPriyaa,Telugu,India,Romance,guvva gorinka,Bammidi Mohan Satyadev KancharanaPriyaa Romance guvva gorinka
M. S. Raju,Shravan,ReddyRuhani,Telugu,India,Thriller Romance,dirty hari,M. S. Raju Shravan ReddyRuhani Thriller Romance dirty hari
Anand Chandra,Avancha,SahitiKrishnaswamy,Telugu,India,Comedy,murder,Anand Chandra Avancha SahitiKrishnaswamy Comedy murder
Subbu,Sai,Dharam,Telugu,India,Comedy Romance,solo brathuke so better,Subbu Sai Dharam Comedy Romance solo brathuke so better
Agasthya Manju,Parth,SuriNaina,Telugu,India,Drama,beautiful,Agasthya Manju Parth SuriNaina Drama beautiful
Anil Ravipudi,Mahesh,BabuRashmika,Telugu,India,Action,sarileru neekevvaru,Anil Ravipudi Mahesh BabuRashmika Action sarileru neekevvaru
Trivikram Srinivas,Allu,ArjunPooja,Telugu,India,Action Comedy Drama,ala vaikunthapurramloo,Trivikram Srinivas Allu ArjunPooja Action Comedy Drama ala vaikunthapurramloo
Satish Vegesna,Kalyan,RamMehreen,Telugu,India,Action Drama Romance,entha manchivaadavuraa,Satish Vegesna Kalyan RamMehreen Action Drama Romance entha manchivaadavuraa
Vi Anand,Ravi,TejaPayal,Telugu,India,Action Science Fiction Thriller,disco raja,Vi Anand Ravi TejaPayal Action Science Fiction Thriller disco raja
Keshav Depur,Pavan,KrishnaSuprajaGetup,Telugu,India,Drama Romance,dubsmash,Keshav Depur Pavan KrishnaSuprajaGetup Drama Romance dubsmash
Ramana Teja,Naga,ShauryaMehreen,Telugu,India,Action Crime Thriller,aswathama,Ramana Teja Naga ShauryaMehreen Action Crime Thriller aswathama
Sesha Sindhu Rao,Shiva,KandukuriVarsha,Telugu,India,Comedy Drama Romance,choosi choodangaane,Sesha Sindhu Rao Shiva KandukuriVarsha Comedy Drama Romance choosi choodangaane
C. Premkumar,SharwanandSamantha,AkkineniSai,Telugu,India,Comedy Horror,jaanu,C. Premkumar SharwanandSamantha AkkineniSai Comedy Horror jaanu
Anil Kumar G,Sudigali,SudheerGetup,Telugu,India,Documentary,3 monkeys,Anil Kumar G Sudigali SudheerGetup Documentary 3 monkeys
Saahith Mothkuri,NanduPriyanka,SharmaSrikanth,Telugu,India,Drama Romance,savaari,Saahith Mothkuri NanduPriyanka SharmaSrikanth Drama Romance savaari
Narasimha Nandi,VarunSri,DivyaDuvvasi,Telugu,India,Drama Romance Thriller,degree college,Narasimha Nandi VarunSri DivyaDuvvasi Drama Romance Thriller degree college
Saibaba. M,Surya,SreenivasSri,Telugu,India,Drama Romance,neevalle nenunna,Saibaba. M Surya SreenivasSri Drama Romance neevalle nenunna
Kranthi Madhav,Vijay,DeverakondaRaashi,Telugu,India,Romance Drama,world famous lover,Kranthi Madhav Vijay DeverakondaRaashi Romance Drama world famous lover
Sundeep cheguri,Punarnavi,BhupalamSanjay,Telugu,India,Drama Thriller,oka chinna viramam,Sundeep cheguri Punarnavi BhupalamSanjay Drama Thriller oka chinna viramam
Sagar Sailesh,Sagar,SaileshYeisha,Telugu,India,Drama Romance,shiva 143,Sagar Sailesh Sagar SaileshYeisha Drama Romance shiva 143
Suresh Thirumur,RavitejaSravani,NikkiShruti,Telugu,India,Drama Romance Comedy,life anubavinchu raja,Suresh Thirumur RavitejaSravani NikkiShruti Drama Romance Comedy life anubavinchu raja
Venky Kudumula,NithinRashmika,MandannaAnant,Telugu,India,Romance Drama,bheeshma,Venky Kudumula NithinRashmika MandannaAnant Romance Drama bheeshma
Sujoi & Sushil,Sai,RonakPreethi,Telugu,India,Documentary,pressure cooker,Sujoi & Sushil Sai RonakPreethi Documentary pressure cooker
Srikanth 'Sri' Appalaraju,AmithIndhu,Cherukuri,Telugu,India,Drama Romance Fantasy Family,cheema prema madhyalo bhaama,Srikanth 'Sri' Appalaraju AmithIndhu Cherukuri Drama Romance Fantasy Family cheema prema madhyalo bhaama
Subbu Vedula,Kriti,GargAbeRaam,Telugu,India,Crime Drama Thriller,raahu,Subbu Vedula Kriti GargAbeRaam Crime Drama Thriller raahu
Dr Sailesh Kolanu,Vishwak,SenRuhani,Telugu,India,Action Drama Thriller,hit: the first case,Dr Sailesh Kolanu Vishwak SenRuhani Action Drama Thriller hit: the first case
Hari Santhosh,Rajendra,PrasadRahul,Telugu,India,Comedy Drama Romance,college kumar,Hari Santhosh Rajendra PrasadRahul Comedy Drama Romance college kumar
Karuna Kumar,RakshitNakshatraRaghu,KuncheThiruveerLaxman,Telugu,India,Action Crime Drama,palasa 1978,Karuna Kumar RakshitNakshatraRaghu KuncheThiruveerLaxman Action Crime Drama palasa 1978
Chandu Muddu,Viswant,DuddumpudiSanjay,Telugu,India,Romance Thriller,o pitta katha,Chandu Muddu Viswant DuddumpudiSanjay Romance Thriller o pitta katha
K L Prasad,Pragathi,YadhatiVikram,Telugu,India,Drama Romance,screenplay of an indian love story,K L Prasad Pragathi YadhatiVikram Drama Romance screenplay of an indian love story
Srividya Basawa,Trishna,MukherjeeVenkat,Telugu,India,Action Romance Comedy,madha,Srividya Basawa Trishna MukherjeeVenkat Action Romance Comedy madha
Kanmani,RajasekharMaryam,Zakaria,Telugu,India,Romance Thriller,arjuna,Kanmani RajasekharMaryam Zakaria Romance Thriller arjuna
Lakshmikanth Chenna,NavdeepPujita,Ponnada,Telugu,India,Thriller Horror Drama,run,Lakshmikanth Chenna NavdeepPujita Ponnada Thriller Horror Drama run
Pradeep Maddali,Satyadev,KancharanaPooja,Telugu,India,Action Drama Mystery Thriller,47 days,Pradeep Maddali Satyadev KancharanaPooja Action Drama Mystery Thriller 47 days
Srikanth Nagothi,Naveen,ChandraSalony,Telugu,India,Comedy Drama Romance,bhanumathi & ramakrishna,Srikanth Nagothi Naveen ChandraSalony Comedy Drama Romance bhanumathi & ramakrishna
Venkatesh Maha,Satyadev,KancharanaNareshSuhasRaghavanHari,Telugu,India,Comedy Drama,uma maheswara ugra roopasya,Venkatesh Maha Satyadev KancharanaNareshSuhasRaghavanHari Comedy Drama uma maheswara ugra roopasya
Trinadh Velisala,Abhinay,ReddySyed,Telugu,India,Crime Thriller,meka suri,Trinadh Velisala Abhinay ReddySyed Crime Thriller meka suri
Teja Marni,Esther,AnilAnkith,Telugu,India,Drama,johaar,Teja Marni Esther AnilAnkith Drama johaar
Mohan Krishna Indraganti,NaniSudheer,BabuNivetha,Telugu,India,Horror Thriller Crime,v,Mohan Krishna Indraganti NaniSudheer BabuNivetha Horror Thriller Crime v
Edwards Jonathan,Vijay,RamShivshakti,Telugu,India,Drama Romance,amaram akhilam prema,Edwards Jonathan Vijay RamShivshakti Drama Romance amaram akhilam prema
Hemant Madhukar,Anushka,ShettyMadhavanMichael,Telugu,India,Thriller Horror,nishabdham,Hemant Madhukar Anushka ShettyMadhavanMichael Thriller Horror nishabdham
Vijay Kumar Konda,Raj,TarunMalavika,Telugu,India,Drama Romance,orey bujjiga,Vijay Kumar Konda Raj TarunMalavika Drama Romance orey bujjiga
Sandeep Raj,SuhasChandini,ChowdarySunil,Telugu,India,Drama Romance,colour photo,Sandeep Raj SuhasChandini ChowdarySunil Drama Romance colour photo
Narendra Nath,Keerthy,SureshJagapathi,Telugu,India,Family Comedy Drama,miss india,Narendra Nath Keerthy SureshJagapathi Family Comedy Drama miss india
Kiran Reddy,Bhargava,PoludasuRakesh,Telugu,India,Thriller,gatham,Kiran Reddy Bhargava PoludasuRakesh Thriller gatham
Aditya Mandala,Siddu,JonnalagaddaSeerat,Telugu,India,Comedy Romance,maa vintha gaadha vinuma,Aditya Mandala Siddu JonnalagaddaSeerat Comedy Romance maa vintha gaadha vinuma
Vinod Ananthoju,Anand,DevarakondaVarsha,Telugu,India,Comedy Drama Romance,middle class melodies,Vinod Ananthoju Anand DevarakondaVarsha Comedy Drama Romance middle class melodies
Trinadh Velisala,Abhinay,ReddySyed,Telugu,India,Crime Thriller,meka suri 2,Trinadh Velisala Abhinay ReddySyed Crime Thriller meka suri 2
Raghavendra Varma,Chandini,ChowdarySai,Telugu,India,Action Drama Science Fiction,bombhaat,Raghavendra Varma Chandini ChowdarySai Action Drama Science Fiction bombhaat
Bammidi Mohan,Satyadev,KancharanaPriyaa,Telugu,India,Romance,guvva gorinka,Bammidi Mohan Satyadev KancharanaPriyaa Romance guvva gorinka
M. S. Raju,Shravan,ReddyRuhani,Telugu,India,Thriller Romance,dirty hari,M. S. Raju Shravan ReddyRuhani Thriller Romance dirty hari
Anand Chandra,Avancha,SahitiKrishnaswamy,Telugu,India,Comedy,murder,Anand Chandra Avancha SahitiKrishnaswamy Comedy murder
Subbu,Sai,Dharam,Telugu,India,Comedy Romance,solo brathuke so better,Subbu Sai Dharam Comedy Romance solo brathuke so better
